iter	Logloss
0	0.6654887126
1	0.6247508604
2	0.6024501663
3	0.5811485304
4	0.5529878724
5	0.5407593532
6	0.5308956388
7	0.5144086219
8	0.5050990136
9	0.4970213169
10	0.4855344062
11	0.4799060527
12	0.4700241285
13	0.4532529756
14	0.448064863
15	0.4434252423
16	0.4345943817
17	0.4275726266
18	0.414240083
19	0.4104067441
20	0.4068350587
21	0.4013781441
22	0.3982706184
23	0.395695315
24	0.3904511924
25	0.3879884226
26	0.3856977918
27	0.3799708384
28	0.3755257216
29	0.3682741358
30	0.3647393869
31	0.3608582662
32	0.3563454433
33	0.3544417393
34	0.3526881269
35	0.3511772516
36	0.3499564699
37	0.3487674883
38	0.3428024305
39	0.3414704894
40	0.3401494034
41	0.3390893004
42	0.334285193
43	0.3319605145
44	0.32960453
45	0.3268775155
46	0.3246887462
47	0.3236462052
48	0.3230671564
49	0.3205036536
50	0.3195724095
51	0.3175582493
52	0.3165270935
53	0.3156589358
54	0.314723023
55	0.3126240693
56	0.3120355851
57	0.3114109923
58	0.3105792312
59	0.3098219647
60	0.3084511994
61	0.307822324
62	0.3071720751
63	0.3053058114
64	0.3035786172
65	0.3017975985
66	0.3012749392
67	0.30083143
68	0.2994737249
69	0.2988668478
70	0.2983352799
71	0.2978237996
72	0.2961328843
73	0.2947700396
74	0.2942836755
75	0.291202182
76	0.2907555026
77	0.2897949448
78	0.2887003655
79	0.2879143906
80	0.2870382142
81	0.2864233249
82	0.2860203804
83	0.2855533122
84	0.2849459444
85	0.2843879058
86	0.283153197
87	0.2826211056
88	0.2822608555
89	0.2812046391
90	0.2808938002
91	0.2805721878
92	0.280016024
93	0.2790409239
94	0.2787020145
95	0.2778889344
96	0.277459107
97	0.2768126728
98	0.27628949
99	0.2758969983
100	0.2755157903
101	0.2748324949
102	0.2744978713
103	0.2738926824
104	0.2736187505
105	0.2733204483
106	0.2729381476
107	0.2727426493
108	0.2723216356
109	0.2720013843
110	0.2716077376
111	0.2713218676
112	0.2706244945
113	0.2701111232
114	0.2692132037
115	0.2689373383
116	0.2686252921
117	0.2683788679
118	0.2679916205
119	0.2676622381
120	0.2672852472
121	0.2667992888
122	0.2665603827
123	0.2663010488
124	0.2660410932
125	0.26581935
126	0.2655214143
127	0.2644150441
