iter	Passed	Remaining
410	4825	6915
411	4836	6901
412	4845	6887
413	4857	6876
414	4869	6864
415	4880	6851
416	4891	6838
417	4902	6826
418	4914	6814
419	4924	6800
420	4934	6786
421	4944	6772
422	4954	6758
423	4965	6745
424	4976	6733
425	4986	6718
426	4998	6707
427	5014	6701
428	5034	6701
429	5049	6694
430	5063	6684
431	5075	6672
432	5088	6663
433	5107	6660
434	5118	6648
435	5132	6639
436	5146	6629
437	5158	6619
438	5170	6607
439	5181	6594
440	5197	6588
441	5210	6578
442	5222	6566
443	5233	6554
444	5246	6543
445	5257	6530
446	5269	6518
447	5280	6506
448	5292	6494
449	5303	6482
450	5314	6469
451	5326	6458
452	5339	6447
453	5352	6437
454	5373	6436
455	5393	6434
456	5408	6426
457	5427	6422
458	5445	6417
459	5457	6406
460	5468	6393
461	5483	6385
462	5493	6371
463	5510	6366
464	5526	6358
465	5541	6349
466	5554	6338
467	5570	6331
468	5584	6322
469	5599	6314
470	5615	6307
471	5634	6303
472	5648	6293
473	5665	6286
474	5681	6279
475	5696	6270
476	5711	6262
477	5726	6253
478	5739	6242
479	5751	6231
480	5763	6219
481	5775	6206
482	5787	6194
483	5799	6183
484	5811	6170
485	5821	6157
486	5836	6148
487	5850	6138
488	5865	6128
489	5876	6116
490	5887	6103
491	5900	6092
492	5914	6082
493	5940	6084
494	5954	6074
495	5972	6069
496	5984	6057
497	6000	6048
498	6012	6036
499	6024	6024
500	6036	6012
501	6047	5999
502	6060	5987
503	6071	5975
504	6082	5962
505	6094	5950
506	6105	5936
507	6116	5923
508	6128	5911
509	6144	5903
510	6164	5899
511	6181	5891
512	6197	5883
513	6218	5880
514	6234	5871
515	6251	5863
516	6264	5852
517	6278	5842
518	6294	5833
519	6315	5829
520	6329	5819
521	6344	5809
522	6357	5798
523	6369	5786
524	6382	5774
525	6394	5762
526	6406	5749
527	6417	5736
528	6427	5722
529	6439	5710
530	6450	5697
531	6463	5685
532	6474	5672
533	6486	5660
534	6496	5646
535	6507	5632
536	6524	5625
537	6539	5615
538	6552	5604
539	6566	5593
540	6579	5582
541	6592	5570
542	6605	5559
543	6620	5549
544	6632	5537
545	6649	5528
546	6661	5516
547	6672	5503
548	6686	5492
549	6702	5483
550	6715	5472
551	6728	5460
552	6738	5446
553	6751	5435
554	6764	5423
555	6775	5410
556	6786	5397
557	6799	5385
558	6811	5373
559	6829	5366
560	6841	5353
561	6853	5341
562	6864	5328
563	6874	5314
564	6889	5304
565	6899	5290
566	6910	5277
567	6920	5263
568	6930	5249
569	6940	5236
570	6951	5222
571	6962	5209
572	6972	5195
573	6983	5182
574	6993	5169
575	7003	5155
576	7013	5141
577	7026	5129
578	7037	5117
579	7048	5103
580	7059	5090
581	7069	5077
582	7084	5067
583	7096	5055
584	7107	5042
585	7120	5030
586	7131	5017
587	7143	5004
588	7154	4992
589	7165	4979
590	7175	4965
591	7185	4952
592	7196	4939
593	7206	4925
594	7218	4913
595	7228	4899
596	7238	4886
597	7250	4874
598	7261	4861
599	7272	4848
600	7288	4838
601	7299	4826
602	7310	4812
603	7322	4800
604	7333	4787
605	7342	4773
606	7353	4761
607	7365	4749
608	7375	4735
609	7386	4722
610	7398	4710
611	7408	4696
612	7419	4683
613	7430	4671
614	7440	4657
615	7452	4645
616	7464	4633
617	7473	4619
618	7484	4606
619	7494	4593
620	7506	4581
621	7518	4569
622	7529	4556
623	7544	4546
624	7555	4533
625	7567	4521
626	7579	4508
627	7590	4496
628	7600	4483
629	7612	4470
630	7622	4457
631	7634	4445
632	7649	4435
633	7661	4422
634	7670	4409
635	7683	4397
636	7702	4389
637	7714	4377
638	7728	4366
639	7740	4353
640	7754	4343
641	7765	4330
642	7777	4318
643	7788	4305
644	7802	4294
645	7816	4283
646	7831	4272
647	7843	4260
648	7854	4247
649	7865	4235
650	7876	4222
651	7887	4209
652	7898	4197
653	7909	4184
654	7923	4173
655	7938	4162
656	7949	4150
657	7961	4137
658	7976	4127
659	7988	4115
660	8006	4106
661	8020	4095
662	8037	4085
663	8050	4073
664	8067	4064
665	8085	4054
666	8104	4046
667	8122	4036
668	8135	4025
669	8148	4013
670	8163	4002
671	8179	3992
672	8194	3981
673	8218	3975
674	8233	3964
675	8248	3953
676	8264	3942
677	8281	3932
678	8297	3922
679	8312	3911
680	8326	3900
681	8339	3888
682	8354	3877
683	8368	3866
684	8384	3855
685	8397	3843
686	8414	3833
687	8432	3824
688	8448	3813
689	8462	3801
690	8476	3790
691	8489	3778
692	8503	3766
693	8514	3754
694	8526	3741
695	8537	3728
696	8549	3716
697	8561	3704
698	8573	3691
699	8584	3679
700	8595	3666
701	8607	3653
702	8618	3641
703	8631	3629
704	8643	3616
705	8653	3603
706	8665	3591
707	8678	3579
708	8690	3566
709	8701	3554
710	8716	3543
711	8728	3530
712	8741	3518
713	8752	3505
714	8763	3493
715	8775	3480
716	8786	3468
717	8801	3456
718	8813	3444
719	8825	3431
720	8836	3419
721	8847	3406
722	8858	3393
723	8870	3381
724	8880	3368
725	8890	3355
726	8900	3342
727	8913	3330
728	8923	3317
729	8934	3304
730	8945	3291
731	8955	3278
732	8966	3266
733	8980	3254
734	8993	3242
735	9004	3229
736	9014	3216
737	9024	3203
738	9035	3191
739	9044	3177
740	9054	3164
741	9067	3152
742	9079	3140
743	9089	3127
744	9100	3114
745	9110	3101
746	9119	3088
747	9130	3076
748	9141	3063
749	9152	3050
750	9162	3037
751	9172	3024
752	9183	3012
753	9193	2999
754	9205	2987
755	9216	2974
756	9226	2961
757	9237	2949
758	9247	2936
759	9258	2923
760	9268	2910
761	9280	2898
762	9289	2885
763	9305	2874
764	9315	2861
765	9326	2849
766	9339	2837
767	9349	2824
768	9359	2811
769	9369	2798
770	9380	2786
771	9390	2773
772	9401	2760
773	9411	2748
774	9422	2735
775	9433	2723
776	9444	2710
777	9455	2698
778	9467	2685
779	9483	2674
780	9493	2662
781	9505	2649
782	9516	2637
783	9526	2624
784	9537	2612
785	9548	2599
786	9558	2587
787	9569	2574
788	9581	2562
789	9592	2549
790	9602	2537
791	9613	2524
792	9624	2512
793	9635	2499
794	9645	2487
795	9655	2474
796	9666	2462
797	9677	2449
798	9688	2437
799	9700	2425
800	9710	2412
801	9720	2399
802	9733	2387
803	9748	2376
804	9761	2364
