iter	Passed	Remaining
0	1	1862
1	3	1668
2	4	1573
3	6	1621
4	9	1824
5	11	1917
6	13	1861
7	14	1801
8	15	1752
9	17	1721
10	18	1698
11	20	1671
12	21	1659
13	23	1639
14	25	1664
15	26	1659
16	28	1642
17	29	1627
18	31	1613
19	32	1599
20	34	1588
21	35	1576
22	36	1571
23	38	1561
24	40	1567
25	42	1575
26	43	1565
27	44	1556
28	46	1553
29	47	1546
30	49	1539
31	50	1531
32	52	1527
33	53	1521
34	55	1522
35	57	1536
36	58	1531
37	60	1525
38	61	1517
39	62	1511
40	64	1511
41	66	1512
42	67	1507
43	69	1501
44	70	1497
45	72	1504
46	74	1508
47	75	1504
48	77	1499
49	78	1494
50	80	1489
51	81	1486
52	82	1482
53	84	1481
54	85	1477
55	87	1476
56	89	1482
57	91	1478
58	92	1473
59	93	1470
60	95	1466
61	96	1463
62	98	1459
63	99	1454
64	100	1450
65	102	1447
66	104	1454
67	106	1453
68	107	1449
69	108	1446
70	110	1446
71	112	1445
72	113	1443
73	115	1439
74	116	1436
75	117	1433
76	119	1433
77	121	1441
78	123	1442
79	125	1440
80	126	1437
81	128	1433
82	129	1430
83	130	1427
84	132	1426
85	133	1423
86	135	1424
87	137	1425
88	138	1422
89	140	1421
90	142	1422
91	143	1419
92	145	1417
93	146	1414
94	148	1411
95	149	1408
96	151	1409
97	153	1410
98	154	1407
99	156	1406
100	157	1403
101	159	1400
102	160	1398
103	162	1395
104	163	1392
105	164	1389
106	166	1386
107	167	1386
108	169	1385
109	171	1384
110	172	1381
111	173	1378
112	175	1376
113	176	1373
114	178	1370
115	179	1369
116	181	1366
117	182	1365
118	184	1366
119	186	1366
120	188	1368
121	189	1367
122	191	1364
123	192	1361
124	194	1359
125	195	1356
126	196	1354
127	198	1354
128	201	1359
129	202	1357
130	204	1355
131	205	1352
132	207	1351
133	208	1348
134	210	1345
135	211	1343
136	212	1340
137	214	1338
138	217	1346
139	219	1346
140	220	1344
141	222	1342
142	223	1340
143	225	1337
144	226	1336
145	228	1333
146	229	1331
147	231	1333
148	233	1332
149	234	1330
150	236	1329
151	237	1326
152	239	1324
153	240	1322
154	242	1319
155	243	1317
156	244	1315
157	247	1316
158	248	1315
159	250	1313
160	251	1310
161	252	1308
162	254	1305
163	255	1304
164	257	1301
165	258	1299
166	260	1297
167	261	1295
168	263	1297
169	265	1295
170	266	1293
171	268	1291
172	269	1288
173	270	1286
174	272	1284
175	273	1282
176	275	1280
177	276	1278
178	278	1278
179	280	1277
180	281	1275
181	283	1274
182	284	1272
183	286	1270
184	287	1267
185	289	1265
186	290	1263
187	292	1262
188	294	1261
189	296	1262
190	297	1260
191	298	1257
192	300	1255
193	301	1253
194	303	1251
195	304	1249
196	306	1248
197	307	1246
198	309	1243
199	311	1244
200	312	1244
201	314	1242
202	315	1240
203	317	1238
204	318	1236
205	320	1234
206	321	1233
207	323	1231
208	324	1229
209	326	1228
210	328	1227
211	329	1225
212	331	1224
213	332	1222
214	334	1220
215	335	1218
216	337	1216
217	338	1214
218	339	1212
219	342	1212
220	343	1211
221	345	1209
222	346	1207
223	347	1205
224	349	1203
225	350	1201
226	352	1199
227	353	1197
228	355	1195
229	356	1193
230	358	1192
231	359	1191
232	361	1189
233	362	1187
234	364	1185
235	365	1183
236	367	1181
237	368	1179
238	369	1177
239	371	1175
240	372	1174
241	374	1174
242	376	1172
243	377	1170
244	379	1168
245	381	1167
246	382	1166
247	384	1165
248	386	1164
249	387	1162
250	389	1161
251	391	1161
252	392	1159
253	393	1157
254	395	1155
255	396	1153
256	398	1151
257	399	1149
258	401	1147
259	402	1145
260	404	1144
261	406	1144
262	407	1142
263	409	1140
264	410	1138
265	412	1136
266	413	1135
267	414	1133
268	416	1131
269	417	1129
270	419	1127
271	421	1127
272	423	1127
273	425	1126
274	426	1125
275	428	1123
276	429	1121
277	430	1119
278	432	1117
279	433	1115
280	435	1113
281	437	1113
282	438	1111
283	440	1110
284	441	1108
285	443	1106
286	444	1104
287	446	1103
288	447	1101
289	449	1099
290	450	1097
291	452	1095
292	454	1095
293	455	1094
294	456	1092
295	458	1090
296	459	1088
297	461	1086
298	462	1084
299	464	1083
300	465	1081
301	467	1079
302	468	1078
303	470	1077
304	472	1075
305	473	1074
306	475	1072
307	476	1070
308	477	1068
309	479	1066
310	480	1064
311	482	1063
312	483	1062
313	486	1061
314	487	1060
315	488	1058
316	490	1056
317	491	1054
318	493	1053
319	494	1051
320	496	1049
